No,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Experience_Type,Category,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Regional,Mega
91,Cloyster,Cloyster,1,1.5,132.5,Water,Ice,Shell Armor,Skill Link,Overcoat,50.0,50.0,0,20,Water3,,60,184,1250000,Ordinary,50,95,180,85,45,70,525,0,0
92,Gastly,Gastly,1,1.3,0.1,Ghost,Poison,Levitate,,,50.0,50.0,0,20,Amorphous,,190,62,1059860,Ordinary,30,35,30,100,35,80,310,0,0
93,Haunter,Haunter,1,1.6,0.1,Ghost,Poison,Levitate,,,50.0,50.0,0,20,Amorphous,,90,142,1059860,Ordinary,45,50,45,115,55,95,405,0,0
94,Gengar,Gengar,1,1.5,40.5,Ghost,Poison,Cursed Body,,,50.0,50.0,0,20,Amorphous,,45,250,1059860,Ordinary,60,65,60,130,75,110,500,0,1
95,Onix,Onix,1,8.8,210.0,Rock,Ground,Rock Head,Sturdy,Weak Armor,50.0,50.0,0,25,Mineral,,45,77,1000000,Ordinary,35,45,160,30,45,70,385,0,0
96,Drowzee,Drowzee,1,1.0,32.4,Psychic,,Insomnia,Forewarn,Inner Focus,50.0,50.0,0,20,Human-Like,,190,66,1000000,Ordinary,60,48,45,43,90,42,328,0,0
97,Hypno,Hypno,1,1.6,75.6,Psychic,,Insomnia,Forewarn,Inner Focus,50.0,50.0,0,20,Human-Like,,75,169,1000000,Ordinary,85,73,70,73,115,67,483,0,0
98,Krabby,Krabby,1,0.4,6.5,Water,,Hyper Cutter,Shell Armor,Sheer Force,50.0,50.0,0,20,Water3,,225,65,1000000,Ordinary,30,105,90,25,25,50,325,0,0
99,Kingler,Kingler,1,1.3,60.0,Water,,Hyper Cutter,Shell Armor,Sheer Force,50.0,50.0,0,20,Water3,,60,166,1000000,Ordinary,55,130,115,50,50,75,475,0,0
100,Voltorb,Voltorb,1,0.5,10.4,Electric,,Soundproof,Static,Aftermath,0.0,0.0,100,20,Mineral,,190,66,1000000,Ordinary,40,30,50,55,55,100,330,1,0
101,Electrode,Electrode,1,1.2,66.6,Electric,,Soundproof,Static,Aftermath,0.0,0.0,100,20,Mineral,,60,172,1000000,Ordinary,60,50,70,80,80,150,490,1,0
102,Exeggcute,Exeggcute,1,0.4,2.5,Grass,Psychic,Chlorophyll,,Harvest,50.0,50.0,0,20,Grass,,90,65,1250000,Ordinary,60,40,80,60,45,40,325,0,0
103,Exeggutor,Exeggutor,1,2.0,120.0,Grass,Psychic,Chlorophyll,,Harvest,50.0,50.0,0,20,Grass,,45,186,1250000,Ordinary,95,95,85,125,75,55,530,1,0
104,Cubone,Cubone,1,0.4,6.5,Ground,,Rock Head,Lightning Rod,Battle Armor,50.0,50.0,0,20,Monster,,190,64,1000000,Ordinary,50,50,95,40,50,35,320,0,0
105,Marowak,Marowak,1,1.0,45.0,Ground,,Rock Head,Lightning Rod,Battle Armor,50.0,50.0,0,20,Monster,,75,149,1000000,Ordinary,60,80,110,50,80,45,425,1,0
106,Hitmonlee,Hitmonlee,1,1.5,49.8,Fighting,,Limber,Reckless,Unburden,100.0,0.0,0,25,Human-Like,,45,159,1000000,Ordinary,50,120,53,35,110,87,455,0,0
107,Hitmonchan,Hitmonchan,1,1.4,50.2,Fighting,,Keen Eye,Iron Fist,Inner Focus,100.0,0.0,0,25,Human-Like,,45,159,1000000,Ordinary,50,105,79,35,110,76,455,0,0
108,Lickitung,Lickitung,1,1.2,65.5,Normal,,Own Tempo,Oblivious,Cloud Nine,50.0,50.0,0,20,Monster,,45,77,1000000,Ordinary,90,55,75,60,75,30,385,0,0
109,Koffing,Koffing,1,0.6,1.0,Poison,,Levitate,Neutralizing Gas,Stench,50.0,50.0,0,20,Amorphous,,190,68,1000000,Ordinary,40,65,95,60,45,35,340,0,0
110,Weezing,Weezing,1,1.2,9.5,Poison,,Levitate,Neutralizing Gas,Stench,50.0,50.0,0,20,Amorphous,,60,172,1000000,Ordinary,65,90,120,85,70,60,490,1,0
111,Rhyhorn,Rhyhorn,1,1.0,115.0,Ground,Rock,Lightning Rod,Rock Head,Reckless,50.0,50.0,0,20,Monster,Ground,120,69,1250000,Ordinary,80,85,95,30,30,25,345,0,0
112,Rhydon,Rhydon,1,1.9,120.0,Ground,Rock,Lightning Rod,Rock Head,Reckless,50.0,50.0,0,20,Monster,Ground,60,170,1250000,Ordinary,105,130,120,45,45,40,485,0,0
113,Chansey,Chansey,1,1.1,34.6,Normal,,Natural Cure,Serene Grace,Healer,0.0,100.0,0,40,Fairy,,30,395,800000,Ordinary,250,5,5,35,105,50,450,0,0
114,Tangela,Tangela,1,1.0,35.0,Grass,,Chlorophyll,Leaf Guard,Regenerator,50.0,50.0,0,20,Grass,,45,87,1000000,Ordinary,65,55,115,100,40,60,435,0,0
115,Kangaskhan,Kangaskhan,1,2.2,80.0,Normal,,Early Bird,Scrappy,Inner Focus,0.0,100.0,0,20,Monster,,45,172,1000000,Ordinary,105,95,80,40,80,90,490,0,1
116,Horsea,Horsea,1,0.4,8.0,Water,,Swift Swim,Sniper,Damp,50.0,50.0,0,20,Water1,Dragon,225,59,1000000,Ordinary,30,40,70,70,25,60,295,0,0
117,Seadra,Seadra,1,1.2,25.0,Water,,Poison Point,Sniper,Damp,50.0,50.0,0,20,Water1,Dragon,75,154,1000000,Ordinary,55,65,95,95,45,85,440,0,0
118,Goldeen,Goldeen,1,0.6,15.0,Water,,Swift Swim,Water Veil,Lightning Rod,50.0,50.0,0,20,Water2,,225,64,1000000,Ordinary,45,67,60,35,50,63,320,0,0
119,Seaking,Seaking,1,1.3,39.0,Water,,Swift Swim,Water Veil,Lightning Rod,50.0,50.0,0,20,Water2,,60,158,1000000,Ordinary,80,92,65,65,80,68,450,0,0
120,Staryu,Staryu,1,0.8,34.5,Water,,Illuminate,Natural Cure,Analytic,0.0,0.0,100,20,Water3,,225,68,1250000,Ordinary,30,45,55,70,55,85,340,0,0
121,Starmie,Starmie,1,1.1,80.0,Water,Psychic,Illuminate,Natural Cure,Analytic,0.0,0.0,100,20,Water3,,60,182,1250000,Ordinary,60,75,85,100,85,115,520,0,0
122,Mr. Mime,Mr. Mime,1,1.3,54.5,Psychic,Fairy,Soundproof,Filter,Technician,50.0,50.0,0,25,Human-Like,,45,161,1000000,Ordinary,40,45,65,100,120,90,460,1,0
123,Scyther,Scyther,1,1.5,56.0,Bug,Flying,Swarm,Technician,Steadfast,50.0,50.0,0,25,Bug,,45,100,1000000,Ordinary,70,110,80,55,80,105,500,0,0
124,Jynx,Jynx,1,1.4,40.6,Ice,Psychic,Oblivious,Forewarn,Dry Skin,0.0,100.0,0,25,Human-Like,,45,159,1000000,Ordinary,65,50,35,115,95,95,455,0,0
125,Electabuzz,Electabuzz,1,1.1,30.0,Electric,,Static,,Vital Spirit,75.0,25.0,0,25,Human-Like,,45,172,1000000,Ordinary,65,83,57,95,85,105,490,0,0
126,Magmar,Magmar,1,1.3,44.5,Fire,,Flame Body,,Vital Spirit,75.0,25.0,0,25,Human-Like,,45,173,1000000,Ordinary,65,95,57,100,85,93,495,0,0
127,Pinsir,Pinsir,1,1.5,55.0,Bug,,Hyper Cutter,Mold Breaker,Moxie,50.0,50.0,0,25,Bug,,45,175,1250000,Ordinary,65,125,100,55,70,85,500,0,1
128,Tauros,Tauros,1,1.4,88.4,Normal,,Intimidate,Anger Point,Sheer Force,100.0,0.0,0,20,Ground,,45,172,1250000,Ordinary,75,100,95,40,70,110,490,1,0
129,Magikarp,Magikarp,1,0.9,10.0,Water,,Swift Swim,,Rattled,50.0,50.0,0,5,Water2,Dragon,255,40,1250000,Ordinary,20,10,55,15,20,80,200,0,0
130,Gyarados,Gyarados,1,6.5,235.0,Water,Flying,Intimidate,,Moxie,50.0,50.0,0,5,Water2,Dragon,45,189,1250000,Ordinary,95,125,79,60,100,81,540,0,1
131,Lapras,Lapras,1,2.5,220.0,Water,Ice,Water Absorb,Shell Armor,Hydration,50.0,50.0,0,40,Monster,Water1,45,187,1250000,Ordinary,130,85,80,85,95,60,535,0,0
132,Ditto,Ditto,1,0.3,4.0,Normal,,Limber,,Imposter,0.0,0.0,100,20,Ditto,,35,101,1000000,Ordinary,48,48,48,48,48,48,288,0,0
133,Eevee,Eevee,1,0.3,6.5,Normal,,Run Away,Adaptability,Anticipation,87.5,12.5,0,35,Ground,,45,65,1000000,Ordinary,55,55,50,45,65,55,325,0,0
134,Vaporeon,Vaporeon,1,1.0,29.0,Water,,Water Absorb,,Hydration,87.5,12.5,0,35,Ground,,45,184,1000000,Ordinary,130,65,60,110,95,65,525,0,0
135,Jolteon,Jolteon,1,0.8,24.5,Electric,,Volt Absorb,,Quick Feet,87.5,12.5,0,35,Ground,,45,184,1000000,Ordinary,65,65,60,110,95,130,525,0,0
136,Flareon,Flareon,1,0.9,25.0,Fire,,Flash Fire,,Guts,87.5,12.5,0,35,Ground,,45,184,1000000,Ordinary,65,130,60,95,110,65,525,0,0
137,Porygon,Porygon,1,0.8,36.5,Normal,,Trace,Download,Analytic,0.0,0.0,100,20,Mineral,,45,79,1000000,Ordinary,65,60,70,85,75,40,395,0,0
138,Omanyte,Omanyte,1,0.4,7.5,Rock,Water,Swift Swim,Shell Armor,Weak Armor,87.5,12.5,0,30,Water1,Water3,45,71,1000000,Ordinary,35,40,100,90,55,35,355,0,0
139,Omastar,Omastar,1,1.0,35.0,Rock,Water,Swift Swim,Shell Armor,Weak Armor,87.5,12.5,0,30,Water1,Water3,45,173,1000000,Ordinary,70,60,125,115,70,55,495,0,0
140,Kabuto,Kabuto,1,0.5,11.5,Rock,Water,Swift Swim,Battle Armor,Weak Armor,87.5,12.5,0,30,Water1,Water3,45,71,1000000,Ordinary,30,80,90,55,45,55,355,0,0
141,Kabutops,Kabutops,1,1.3,40.5,Rock,Water,Swift Swim,Battle Armor,Weak Armor,87.5,12.5,0,30,Water1,Water3,45,173,1000000,Ordinary,60,115,105,65,70,80,495,0,0
